d,n,m,i,saf.ft
0.2,5,5,0,1191
0.2,5,5,1,1322
0.2,5,5,2,1321
0.2,5,5,3,1533
0.2,5,5,4,1432
0.2,5,5,5,1589
0.2,5,5,6,1572
0.2,5,5,7,1503
0.2,5,5,10,1267
0.2,5,5,9,997
0.2,5,5,11,1288
0.2,5,5,12,1704
0.2,5,5,8,1259
0.2,5,5,13,1344
0.2,5,5,14,1700
0.2,5,5,15,1248
0.2,5,5,16,1618
0.2,5,5,17,1165
0.2,5,5,18,1284
0.2,5,5,19,1300
0.2,5,5,20,1447
0.2,5,5,21,1300
0.2,5,5,22,1217
0.2,5,5,23,1580
0.2,5,5,24,1289
0.2,5,5,25,1219
0.2,5,5,26,1402
0.2,5,5,27,1141
0.2,5,5,28,1592
0.2,5,5,29,1202
0.2,5,10,0,2276
0.2,5,10,2,2591
0.2,5,10,1,2595
0.2,5,10,3,2436
0.2,5,10,4,2413
0.2,5,10,5,2535
0.2,5,10,6,3105
0.2,5,10,7,2122
0.2,5,10,8,2090
0.2,5,10,9,2281
0.2,5,10,16,2536
0.2,5,10,10,2907
0.2,5,10,12,2589
0.2,5,10,11,2723
0.2,5,10,17,2678
0.2,5,10,18,2594
0.2,5,10,13,2568
0.2,5,10,14,2545
0.2,5,10,19,2305
0.2,5,10,20,2324
0.2,5,10,21,2211
0.2,5,10,15,2679
0.2,5,10,22,2732
0.2,5,10,23,1966
0.2,5,10,24,2438
0.2,5,10,26,2138
0.2,5,10,27,2845
0.2,5,10,25,2877
0.2,5,10,28,2239
0.2,5,10,29,2636
0.2,5,20,0,5140
0.2,5,20,2,4636
0.2,5,20,5,4712
0.2,5,20,10,4038
0.2,5,20,11,5070
0.2,5,20,13,4631
0.2,5,20,12,4521
0.2,5,20,14,4711
0.2,5,20,1,4747
0.2,5,20,3,4548
0.2,5,20,4,4761
0.2,5,20,6,4819
0.2,5,20,15,4804
0.2,5,20,7,4337
0.2,5,20,8,4733
0.2,5,20,9,4772
0.2,5,20,16,4620
0.2,5,20,17,4366
0.2,5,20,18,4552
0.2,5,20,19,4591
0.2,5,20,21,4653
0.2,5,20,22,4374
0.2,5,20,23,4621
0.2,5,20,20,4136
0.2,5,20,27,4951
0.2,5,20,24,4729
0.2,5,20,25,4973
0.2,5,20,26,4833
0.2,5,20,28,4885
0.2,5,20,29,4855
0.2,5,30,2,6855
0.2,5,30,4,5986
0.2,5,30,7,6793
0.2,5,30,8,6758
0.2,5,30,3,6884
0.2,5,30,9,6222
0.2,5,30,0,6565
0.2,5,30,6,6567
0.2,5,30,1,6376
0.2,5,30,10,6579
0.2,5,30,5,6059
0.2,5,30,16,6924
0.2,5,30,17,6477
0.2,5,30,11,6546
0.2,5,30,18,6824
0.2,5,30,13,7214
0.2,5,30,12,7202
0.2,5,30,14,7340
0.2,5,30,19,6866
0.2,5,30,15,6549
0.2,5,30,20,6995
0.2,5,30,21,7333
0.2,5,30,23,6431
0.2,5,30,25,6930
0.2,5,30,22,6999
0.2,5,30,24,6221
0.2,5,30,28,7025
0.2,5,30,26,6691
0.2,5,30,29,5871
0.2,5,30,27,7173
0.2,100,5,6,198234
0.2,100,5,3,192274
0.2,100,5,9,188723
0.2,100,5,10,182392
0.2,100,5,8,191219
0.2,100,5,12,181544
0.2,100,5,13,197448
0.2,100,5,15,190048
0.2,100,5,7,194280
0.2,100,5,4,191385
0.2,100,5,5,202433
0.2,100,5,1,196538
0.2,100,5,0,189815
0.2,100,5,2,195783
0.2,100,5,14,189335
0.2,100,5,11,187209
0.2,100,5,17,177895
0.2,100,5,19,191776
0.2,100,5,21,198090
0.2,100,5,16,189292
0.2,100,5,20,182920
0.2,100,5,22,200558
0.2,100,5,23,177850
0.2,100,5,18,191199
0.2,100,5,24,209909
0.2,100,5,25,187291
0.2,100,5,28,189357
0.2,100,5,27,185826
0.2,100,5,26,185706
0.2,100,5,29,190385
0.2,100,10,2,245554
0.2,100,10,3,249438
0.2,100,10,4,244447
0.2,100,10,7,259497
0.2,100,10,6,248821
0.2,100,10,8,244969
0.2,100,10,5,252532
0.2,100,10,10,248974
0.2,100,10,14,251108
0.2,100,10,0,247351
0.2,100,10,1,241225
0.2,100,10,9,247725
0.2,100,10,16,249366
0.2,100,10,18,243496
0.2,100,10,17,262279
0.2,100,10,21,232123
0.2,100,10,22,242299
0.2,100,10,12,248638
0.2,100,10,20,242932
0.2,100,10,15,246638
0.2,100,10,11,251220
0.2,100,10,23,251606
0.2,100,10,13,242872
0.2,100,10,19,256116
0.2,100,10,24,243052
0.2,100,10,28,252581
0.2,100,10,29,246982
0.2,100,10,25,233345
0.2,100,10,26,253829
0.2,100,10,27,252619
0.2,100,20,2,346989
0.2,100,20,1,343972
0.2,100,20,4,323192
0.2,100,20,7,344703
0.2,100,20,12,326032
0.2,100,20,9,333460
0.2,100,20,11,333918
0.2,100,20,0,338283
0.2,100,20,10,328696
0.2,100,20,3,341964
0.2,100,20,6,324642
0.2,100,20,5,334275
0.2,100,20,17,333124
0.2,100,20,18,337509
0.2,100,20,8,333246
0.2,100,20,16,332218
0.2,100,20,21,335062
0.2,100,20,22,323939
0.2,100,20,20,335366
0.2,100,20,19,325907
0.2,100,20,23,325183
0.2,100,20,13,337374
0.2,100,20,14,331984
0.2,100,20,15,330139
0.2,100,20,24,345618
0.2,100,20,29,347650
0.2,100,20,28,341547
0.2,100,20,25,323324
0.2,100,20,27,338376
0.2,100,30,5,422340
0.2,100,30,2,403051
0.2,100,30,4,412769
0.2,100,30,6,408624
0.2,100,20,26,337532
0.2,100,30,3,415342
0.2,100,30,1,406989
0.2,100,30,11,415949
0.2,100,30,12,404966
0.2,100,30,10,400478
0.2,100,30,13,407970
0.2,100,30,0,400803
0.2,100,30,16,412450
0.2,100,30,9,402600
0.2,100,30,15,418637
0.2,100,30,7,410009
0.2,10,5,0,3189
0.2,10,5,1,3854
0.2,10,5,2,4110
0.2,10,5,3,4601
0.2,10,5,4,3212
0.2,10,5,5,3447
0.2,10,5,6,2893
0.2,10,5,7,3814
0.2,10,5,8,3913
0.2,10,5,9,3530
0.2,10,5,10,3377
0.2,10,5,11,3343
0.2,10,5,12,3556
0.2,10,5,13,3876
0.2,10,5,14,3211
0.2,10,5,15,4078
0.2,10,5,16,4044
0.2,10,5,17,3451
0.2,10,5,18,4416
0.2,10,5,19,4180
0.2,10,5,20,3947
0.2,10,5,21,3376
0.2,10,5,22,3932
0.2,10,5,23,3237
0.2,10,5,24,3933
0.2,10,5,25,3375
0.2,10,5,26,3642
0.2,10,5,27,4227
0.2,10,5,28,2813
0.2,10,5,29,3444
0.2,10,10,0,6925
0.2,10,10,1,5897
0.2,10,10,2,6371
0.2,100,30,8,396702
0.2,10,10,3,6188
0.2,10,10,4,5937
0.2,10,10,5,6076
0.2,10,10,6,6839
0.2,10,10,7,6148
0.2,100,30,18,411491
0.2,10,10,8,7901
0.2,10,10,9,6238
0.2,10,10,10,6084
0.2,10,10,11,6989
0.2,10,10,13,6899
0.2,10,10,12,6346
0.2,10,10,15,6677
0.2,10,10,14,5607
0.2,10,10,16,6793
0.2,10,10,17,6604
0.2,10,10,18,6108
0.2,10,10,19,5772
0.2,10,10,20,6410
0.2,10,10,21,6423
0.2,10,10,22,6817
0.2,10,10,23,5553
0.2,10,10,24,6281
0.2,10,10,25,6206
0.2,10,10,26,6538
0.2,10,10,27,5651
0.2,10,10,28,6053
0.2,10,10,29,5393
0.2,10,20,0,10877
0.2,10,20,1,11086
0.2,10,20,2,9998
0.2,10,20,4,12480
0.2,10,20,3,10592
0.2,10,20,5,11035
0.2,10,20,6,11550
0.2,10,20,7,10980
0.2,10,20,8,10601
0.2,10,20,9,10414
0.2,10,20,10,10737
0.2,10,20,11,11011
0.2,10,20,12,11754
0.2,10,20,13,11260
0.2,10,20,14,10932
0.2,10,20,15,10969
0.2,10,20,16,10457
0.2,10,20,17,10004
0.2,10,20,18,11626
0.2,10,20,19,10178
0.2,10,20,20,11164
0.2,10,20,21,10687
0.2,10,20,22,9959
0.2,10,20,23,11576
0.2,100,30,20,412880
0.2,10,20,24,11380
0.2,10,20,26,11308
0.2,10,20,27,10599
0.2,10,20,25,11347
0.2,10,20,29,10486
0.2,10,20,28,11546
0.2,10,30,0,14323
0.2,10,30,1,15104
0.2,10,30,4,13720
0.2,10,30,2,15174
0.2,10,30,3,14698
0.2,100,30,17,417744
0.2,10,30,7,14835
0.2,10,30,6,15466
0.2,10,30,5,15572
0.2,10,30,8,16200
0.2,10,30,10,16591
0.2,10,30,11,16522
0.2,10,30,9,16533
0.2,10,30,14,16098
0.2,10,30,12,14901
0.2,10,30,15,15358
0.2,10,30,13,14379
0.2,10,30,16,14268
0.2,10,30,17,14738
0.2,100,30,22,395855
0.2,10,30,21,15543
0.2,10,30,18,14630
0.2,10,30,22,14409
0.2,10,30,19,15743
0.2,10,30,20,14538
0.2,10,30,23,15671
0.2,10,30,24,14317
0.2,10,30,26,15213
0.2,20,5,0,10590
0.2,20,5,1,11425
0.2,20,5,3,10362
0.2,20,5,2,10476
0.2,10,30,27,16342
0.2,20,5,4,11099
0.2,20,5,6,10313
0.2,20,5,5,10521
0.2,20,5,7,11312
0.2,20,5,8,10979
0.2,10,30,29,15418
0.2,20,5,10,10228
0.2,20,5,11,11290
0.2,10,30,25,15344
0.2,20,5,9,12352
0.2,20,5,12,10826
0.2,20,5,13,10955
0.2,20,5,16,9364
0.2,20,5,17,9893
0.2,20,5,14,9710
0.2,20,5,15,11953
0.2,20,5,18,10808
0.2,20,5,19,10759
0.2,10,30,28,16374
0.2,20,5,21,11236
0.2,20,5,20,10123
0.2,20,5,23,12126
0.2,20,5,22,10733
0.2,20,5,24,12048
0.2,20,5,26,9343
0.2,20,5,25,9220
0.2,20,5,27,10461
0.2,20,5,28,10099
0.2,20,5,29,10908
0.2,20,10,0,16374
0.2,20,10,1,16003
0.2,20,10,3,15925
0.2,20,10,4,16141
0.2,20,10,2,16623
0.2,20,10,6,17220
0.2,20,10,5,16186
0.2,20,10,8,18542
0.2,20,10,7,16670
0.2,20,10,9,17096
0.2,20,10,11,15709
0.2,20,10,13,17498
0.2,20,10,10,20318
0.2,20,10,15,17546
0.2,20,10,12,16649
0.2,20,10,14,16870
0.2,20,10,16,16844
0.2,20,10,17,18120
0.2,20,10,19,18488
0.2,20,10,21,16600
0.2,20,10,18,16984
0.2,20,10,20,16151
0.2,20,10,23,17451
0.2,20,10,22,15761
0.2,20,10,24,18065
0.2,20,10,25,16634
0.2,20,10,28,17920
0.2,20,10,26,16054
0.2,20,10,29,16129
0.2,20,10,27,16499
0.2,20,20,1,27622
0.2,20,20,2,27681
0.2,20,20,4,26124
0.2,20,20,0,27668
0.2,20,20,3,27956
0.2,100,30,23,403711
0.2,20,20,7,26539
0.2,20,20,5,27042
0.2,20,20,8,29669
0.2,20,20,9,26603
0.2,20,20,6,28495
0.2,20,20,11,26378
0.2,20,20,14,26626
0.2,20,20,12,26767
0.2,20,20,16,28997
0.2,20,20,10,26738
0.2,20,20,15,27392
0.2,20,20,13,28937
0.2,20,20,17,28044
0.2,20,20,18,27116
0.2,20,20,19,28222
0.2,20,20,22,26276
0.2,20,20,24,28363
0.2,20,20,25,27674
0.2,20,20,20,28445
0.2,20,20,21,26697
0.2,20,20,26,25757
0.2,20,20,23,28065
0.2,20,20,28,27536
0.2,20,20,29,27318
0.2,20,20,27,27468
0.2,20,30,0,37460
0.2,20,30,2,36815
0.2,20,30,4,36174
0.2,20,30,5,37060
0.2,20,30,6,38376
0.2,20,30,1,38308
0.2,20,30,3,37076
0.2,20,30,8,35650
0.2,100,30,24,400221
0.2,20,30,9,36953
0.2,20,30,10,34832
0.2,20,30,7,35642
0.2,20,30,11,36414
0.2,20,30,14,37652
0.2,20,30,15,38597
0.2,20,30,16,39670
0.2,20,30,17,36005
0.2,20,30,12,34327
0.2,20,30,18,38878
0.2,20,30,19,37808
0.2,20,30,13,36605
0.2,20,30,20,36838
0.2,20,30,21,36140
0.2,20,30,22,39961
0.2,30,5,0,19029
0.2,30,5,1,23034
0.2,30,5,2,21621
0.2,20,30,26,38281
0.2,20,30,23,36576
0.2,20,30,25,38388
0.2,30,5,3,21173
0.2,30,5,4,17276
0.2,30,5,5,24481
0.2,30,5,6,22459
0.2,30,5,7,21760
0.2,30,5,8,21040
0.2,30,5,9,22123
0.2,20,30,27,37069
0.2,30,5,10,21469
0.2,30,5,11,22207
0.2,30,5,12,21246
0.2,30,5,13,19976
0.2,30,5,14,19880
0.2,30,5,15,21099
0.2,30,5,16,20937
0.2,30,5,18,22624
0.2,30,5,19,22025
0.2,30,5,17,19914
0.2,30,5,20,19964
0.2,30,5,21,19391
0.2,20,30,28,36595
0.2,30,5,22,20597
0.2,30,5,24,20514
0.2,30,5,23,22178
0.2,30,5,25,18745
0.2,30,5,27,19049
0.2,30,5,26,22547
0.2,30,5,28,21635
0.2,30,5,29,19618
0.2,30,10,1,30034
0.2,30,10,3,30845
0.2,30,10,2,29407
0.2,30,10,4,29460
0.2,30,10,0,28968
0.2,20,30,24,36890
0.2,30,10,5,30737
0.2,30,10,6,30460
0.2,20,30,29,36470
0.2,30,10,7,35227
0.2,30,10,9,32083
0.2,30,10,10,32300
0.2,30,10,12,29197
0.2,30,10,8,30919
0.2,30,10,11,34172
0.2,30,10,14,31612
0.2,30,10,15,30741
0.2,30,10,13,30444
0.2,30,10,17,31701
0.2,30,10,18,33829
0.2,30,10,19,29909
0.2,30,10,16,32184
0.2,30,10,21,30298
0.2,30,10,22,36209
0.2,30,10,23,29216
0.2,30,10,24,32609
0.2,30,10,25,31703
0.2,30,10,26,31618
0.2,30,10,20,31870
0.2,100,30,14,417062
0.2,30,10,27,33037
0.2,30,10,28,34077
0.2,30,10,29,29319
0.2,30,20,0,48088
0.2,30,20,1,47632
0.2,30,20,3,47733
0.2,30,20,2,50243
0.2,30,20,7,48908
0.2,30,20,8,51018
0.2,100,30,25,418717
0.2,30,20,5,49574
0.2,30,20,4,50166
0.2,30,20,10,49788
0.2,30,20,9,48356
0.2,30,20,6,50449
0.2,30,20,11,50782
0.2,30,20,12,48236
0.2,30,20,13,51524
0.2,30,20,14,51136
0.2,30,20,15,50743
0.2,30,20,18,47718
0.2,30,20,19,47268
0.2,30,20,21,48221
0.2,30,20,20,49832
0.2,30,20,22,48287
0.2,30,20,24,50285
0.2,30,20,16,49801
0.2,30,20,23,51904
0.2,30,20,17,54748
0.2,30,20,25,51176
0.2,30,20,27,46816
0.2,30,20,29,48682
0.2,30,20,28,47173
0.2,30,20,26,50649
0.2,100,30,29,406436
0.2,30,30,1,62986
0.2,30,30,0,63790
0.2,30,30,3,63774
0.2,30,30,5,66239
0.2,30,30,6,65387
0.2,30,30,7,64064
0.2,30,30,8,65940
0.2,30,30,9,65328
0.2,30,30,4,68391
0.2,30,30,2,66528
0.2,30,30,10,65140
0.2,30,30,11,66994
0.2,30,30,13,66398
0.2,30,30,14,65612
0.2,100,30,19,413434
0.2,30,30,15,65342
0.2,30,30,17,65851
0.2,30,30,12,66876
0.2,30,30,16,65209
0.2,30,30,18,67107
0.2,50,5,0,48869
0.2,50,5,1,47439
0.2,100,30,21,407213
0.2,30,30,21,63626
0.2,30,30,22,65983
0.2,50,5,2,56200
0.2,50,5,4,48265
0.2,50,5,3,47776
0.2,50,5,5,46331
0.2,50,5,7,55869
0.2,30,30,24,64169
0.2,50,5,6,57668
0.2,50,5,9,53398
0.2,50,5,8,59901
0.2,30,30,23,61454
0.2,50,5,10,50491
0.2,50,5,11,50585
0.2,50,5,12,54530
0.2,50,5,13,51307
0.2,50,5,16,61714
0.2,30,30,28,61876
0.2,50,5,17,51034
0.2,50,5,14,56552
0.2,30,30,27,64031
0.2,50,5,18,47536
0.2,50,5,15,55390
0.2,50,5,19,52281
0.2,50,5,20,53501
0.2,50,5,21,52362
0.2,50,5,22,54082
0.2,50,5,24,54232
0.2,50,5,27,52452
0.2,50,5,25,58206
0.2,50,5,26,54274
0.2,50,5,23,53846
0.2,50,5,28,53480
0.2,30,30,26,65696
0.2,50,5,29,57291
0.2,30,30,29,68034
0.2,30,30,20,65299
0.2,100,30,27,413304
0.2,30,30,19,63878
0.2,50,10,1,72898
0.2,50,10,0,70229
0.2,50,10,2,74333
0.2,50,10,7,73563
0.2,50,10,6,74133
0.2,50,10,8,69825
0.2,50,10,3,70903
0.2,50,10,9,73403
0.2,50,10,4,74719
0.2,50,10,5,72496
0.2,30,30,25,67802
0.2,50,10,14,73420
0.2,50,10,13,75989
0.2,50,10,15,72235
0.2,50,10,17,69168
0.2,50,10,16,71744
0.2,50,10,18,71487
0.2,50,10,11,71054
0.2,50,10,10,73935
0.2,50,10,20,72843
0.2,50,10,12,70976
0.2,50,10,21,74591
0.2,50,10,19,71462
0.2,50,10,25,72150
0.2,50,10,24,70413
0.2,50,10,27,77983
0.2,50,10,28,71078
0.2,50,10,26,75033
0.2,50,10,29,76510
0.2,50,10,22,74332
0.2,50,10,23,72711
0.2,50,20,4,107047
0.2,50,20,5,106712
0.2,50,20,7,104563
0.2,50,20,8,108320
0.2,50,20,11,108969
0.2,50,20,6,103590
0.2,50,20,9,107469
0.2,50,20,10,106978
0.2,50,20,1,108101
0.2,50,20,2,107069
0.2,50,20,0,106547
0.2,50,20,3,106683
0.2,50,20,15,103699
0.2,50,20,14,105190
0.2,50,20,13,111187
0.2,50,20,12,104696
0.2,50,20,17,107675
0.2,50,20,16,105310
0.2,50,20,18,109686
0.2,50,20,20,106265
0.2,50,20,21,109035
0.2,50,20,19,109410
0.2,50,20,27,105843
0.2,50,20,26,109742
0.2,50,20,22,105381
0.2,50,20,23,104964
0.2,50,20,25,103078
0.2,50,20,24,108133
0.2,50,20,28,110745
0.2,50,20,29,108756
0.2,50,30,0,139369
0.2,50,30,4,141391
0.2,50,30,1,138820
0.2,50,30,2,138248
0.2,50,30,5,143164
0.2,100,30,28,413630
0.2,50,30,3,142178
0.2,50,30,7,134050
0.2,50,30,6,135459
0.2,50,30,14,138289
0.2,50,30,15,139009
0.2,50,30,16,136489
0.2,50,30,18,137768
0.2,50,30,17,129524
0.2,50,30,20,139189
0.2,50,30,8,129707
0.2,50,30,22,136447
0.3,5,5,0,1209
0.3,5,5,1,1082
0.3,5,5,2,1113
0.3,5,5,3,1245
0.3,5,5,4,962
0.3,5,5,5,1002
0.3,5,5,6,1060
0.3,5,5,7,1531
0.3,5,5,8,1181
0.3,5,5,9,1053
0.3,5,5,10,1092
0.2,50,30,21,133401
0.3,5,5,12,1131
0.3,5,5,11,826
0.3,5,5,13,1073
