d,m,n,i,mip.ft
0.2,5,5,2,1321
0.2,5,5,3,1533
0.2,5,5,0,1191
0.2,5,5,4,1432
0.2,5,5,6,1539
0.2,5,5,1,1322
0.2,5,5,5,1527
0.2,5,5,7,1503
0.2,5,5,10,1267
0.2,5,5,9,997
0.2,5,5,13,1344
0.2,5,5,8,1259
0.2,5,5,15,1248
0.2,5,5,11,1288
0.2,5,5,14,1678
0.2,5,5,12,1620
0.2,5,5,17,1165
0.2,5,5,16,1366
0.2,5,5,20,1376
0.2,5,5,18,1217
0.2,5,5,22,1217
0.2,5,5,21,1298
0.2,5,5,23,1552
0.2,5,5,19,1283
0.2,5,5,24,1272
0.2,5,5,25,1219
0.2,5,5,27,1141
0.2,5,5,26,1393
0.2,5,5,29,1148
0.2,5,5,28,1592
0.2,10,5,5,2496
0.2,10,5,1,2481
0.2,10,5,3,2376
0.2,10,5,0,2276
0.2,10,5,7,2037
0.2,10,5,4,2410
0.2,10,5,6,3105
0.2,10,5,8,2087
0.2,10,5,11,2564
0.2,10,5,13,2568
0.2,10,5,2,2515
0.2,10,5,9,2257
0.2,10,5,12,2542
0.2,10,5,14,2545
0.2,10,5,19,2305
0.2,10,5,18,2594
0.2,10,5,16,2460
0.2,10,5,21,2099
0.2,10,5,17,2678
0.2,10,5,20,2285
0.2,10,5,23,1966
0.2,10,5,22,2732
0.2,10,5,10,2756
0.2,10,5,24,2409
0.2,10,5,15,2633
0.2,10,5,28,2169
0.2,10,5,25,2632
0.2,10,5,27,2733
0.2,10,5,26,2119
0.2,10,5,29,2578
0.2,20,5,2,4543
0.2,20,5,4,4761
0.2,20,5,6,4819
0.2,20,5,1,4419
0.2,20,5,0,4903
0.2,20,5,7,4187
0.2,20,5,8,4503
0.2,20,5,10,3980
0.2,20,5,3,4477
0.2,20,5,9,4562
0.2,20,5,17,4200
0.2,20,5,11,4895
0.2,20,5,16,4532
0.2,20,5,15,4651
0.2,20,5,19,4567
0.2,20,5,20,4041
0.2,20,5,13,4555
0.2,20,5,14,4491
0.2,20,5,12,4494
0.2,20,5,24,4631
0.2,20,5,22,4342
0.2,20,5,26,4697
0.2,20,5,28,4675
0.2,20,5,27,4793
0.2,20,5,25,4715
0.2,20,5,18,4314
0.2,20,5,23,4327
0.2,20,5,21,4539
0.2,30,5,4,5770
0.2,30,5,1,6242
0.2,20,5,29,4715
0.2,30,5,0,6346
0.2,30,5,7,6611
0.2,30,5,6,6533
0.2,30,5,9,6137
0.2,30,5,10,6497
0.2,30,5,5,6035
0.2,30,5,3,6713
0.2,30,5,12,7021
0.2,30,5,11,6482
0.2,30,5,13,6728
0.2,30,5,14,7178
0.2,30,5,15,6539
0.2,30,5,17,6477
0.2,30,5,16,6705
0.2,30,5,2,6700
0.2,30,5,23,6431
0.2,30,5,21,7174
0.2,30,5,22,6688
0.2,30,5,24,6027
0.2,30,5,26,6543
0.2,30,5,18,6733
0.2,20,5,5,4704
0.2,30,5,29,5467
0.2,30,5,19,6810
0.2,30,5,8,6666
0.2,30,5,27,6457
0.2,30,5,25,6774
0.2,30,5,20,6979
0.2,30,5,28,6880
0.2,5,10,4,3145
0.2,5,10,1,3633
0.2,5,10,9,3480
0.2,5,10,2,4110
0.2,5,10,0,3143
0.2,5,10,12,3357
0.2,5,10,3,4519
0.2,5,10,7,3729
0.2,5,10,5,3368
0.2,5,10,6,2759
0.2,5,10,14,3108
0.2,5,10,17,3292
0.2,5,10,8,3904
0.2,5,10,10,3249
0.2,5,10,18,4362
0.2,5,10,16,3833
0.2,5,10,21,3265
0.2,5,10,11,3275
0.2,5,10,23,3216
0.2,5,10,15,3603
0.2,5,10,13,3628
0.2,5,10,19,4065
0.2,5,10,20,3675
0.2,5,10,22,3826
0.2,5,10,24,3889
0.2,5,10,25,3311
0.2,5,10,26,3527
0.2,5,10,27,3969
0.2,5,10,28,2784
0.2,5,10,29,3281
0.2,10,10,0,6597
0.2,10,10,1,5621
0.2,10,10,2,6287
0.2,10,10,3,5789
0.2,10,10,4,5653
0.2,10,10,5,5860
0.2,10,10,6,6211
0.2,10,10,7,6023
0.2,10,10,8,7262
0.2,10,10,9,5512
0.2,10,10,10,5945
0.2,10,10,11,6505
0.2,10,10,12,6104
0.2,10,10,13,6476
0.2,10,10,14,5157
0.2,10,10,15,6163
0.2,10,10,19,5694
0.2,10,10,16,6645
0.2,10,10,17,5820
0.2,10,10,23,5257
0.2,10,10,18,5648
0.2,10,10,20,6039
0.2,10,10,21,6279
0.2,10,10,22,6473
0.2,10,10,24,6003
0.2,10,10,25,6122
0.2,10,10,26,6290
0.2,10,10,27,5603
0.2,10,10,28,5880
0.2,10,10,29,5352
0.2,20,10,0,10675
0.2,20,10,1,10161
0.2,20,10,2,9309
0.2,20,10,3,10296
0.2,20,10,4,12020
0.2,20,10,5,10754
0.2,20,10,6,11056
0.2,20,10,7,10498
0.2,20,10,8,10461
0.2,20,10,9,10095
0.2,20,10,10,10378
0.2,20,10,11,10657
0.2,20,10,12,11137
0.2,20,10,13,11129
0.2,20,10,14,10811
0.2,20,10,15,10279
0.2,20,10,16,10062
0.2,20,10,17,9612
0.2,20,10,18,10371
0.2,20,10,19,9809
0.2,20,10,20,10844
0.2,20,10,21,9852
0.2,20,10,22,9647
0.2,20,10,23,11322
0.2,20,10,24,11292
0.2,20,10,25,10955
0.2,20,10,26,10899
0.2,20,10,27,10185
0.2,20,10,28,11119
0.2,20,10,29,10155
0.2,30,10,0,13894
0.2,30,10,1,14346
0.2,30,10,2,14962
0.2,30,10,3,14455
0.2,30,10,4,13511
0.2,30,10,5,15000
0.2,30,10,6,15537
0.2,30,10,7,14375
0.2,30,10,8,15668
0.2,30,10,9,16237
0.2,30,10,10,16172
0.2,30,10,11,15930
0.2,30,10,12,14492
0.2,30,10,13,14064
0.2,30,10,14,15994
0.2,30,10,15,14970
0.2,30,10,16,13977
0.2,30,10,17,14371
0.2,30,10,18,14312
0.2,30,10,19,15602
0.2,30,10,20,14505
0.2,30,10,21,15362
0.2,30,10,22,14326
0.2,30,10,23,14712
0.2,5,20,0,10012
0.2,5,20,1,10973
0.2,30,10,24,14131
0.2,30,10,25,14774
0.2,5,20,2,9980
0.2,5,20,3,10065
0.2,5,20,4,10981
0.2,5,20,5,10161
0.2,30,10,26,14820
0.2,30,10,27,16060
0.2,30,10,28,15509
0.2,30,10,29,15012
0.2,5,20,6,9854
0.2,5,20,7,11072
0.2,5,20,8,10624
0.2,5,20,9,11227
0.2,5,20,10,9651
0.2,5,20,11,10689
0.2,5,20,12,10591
0.2,5,20,13,10522
0.2,5,20,14,9387
0.2,5,20,15,11672
0.2,5,20,16,9000
0.2,5,20,17,9272
0.2,5,20,18,10414
0.2,5,20,19,10227
0.2,5,20,20,9819
0.2,5,20,21,10805
0.2,5,20,22,10590
0.2,5,20,23,11860
0.2,5,20,24,11271
0.2,5,20,25,8743
0.2,5,20,26,8621
0.2,5,20,27,10152
0.2,5,20,28,9676
0.2,5,20,29,10459
0.2,10,20,0,15680
0.2,10,20,1,14994
0.2,10,20,2,15490
0.2,10,20,3,15561
0.2,10,20,4,15214
0.2,10,20,5,14353
0.2,10,20,6,16750
0.2,10,20,7,15551
0.2,10,20,8,17183
0.2,10,20,9,16228
0.2,10,20,10,17293
0.2,10,20,11,14606
0.2,10,20,12,14928
0.2,10,20,13,16338
0.2,10,20,14,16466
0.2,10,20,15,16815
0.2,10,20,16,16035
0.2,10,20,17,17073
0.2,10,20,18,15899
0.2,10,20,19,16227
0.2,10,20,20,15015
0.2,10,20,21,15549
0.2,10,20,22,14832
0.2,10,20,23,15911
0.2,10,20,24,16887
0.2,10,20,25,15368
0.2,10,20,26,15469
0.2,10,20,27,15659
0.2,10,20,28,17102
0.2,10,20,29,14984
0.2,20,20,0,25452
0.2,20,20,1,26549
0.2,20,20,2,26959
0.2,20,20,3,26703
0.2,20,20,4,25178
0.2,20,20,5,26265
0.2,20,20,6,27392
0.2,20,20,7,25337
0.2,20,20,8,27744
0.2,20,20,9,25278
0.2,20,20,10,25675
0.2,20,20,11,25336
0.2,20,20,12,25720
0.2,20,20,13,27193
0.2,20,20,14,25568
0.2,20,20,15,26703
0.2,20,20,16,28174
0.2,20,20,17,25137
0.2,20,20,18,26004
0.2,20,20,19,26375
0.2,20,20,20,26321
0.2,20,20,21,25284
0.2,20,20,22,25619
0.2,20,20,23,27278
0.2,20,20,24,25382
0.2,20,20,25,26272
0.2,20,20,26,24609
0.2,20,20,27,25796
0.2,20,20,28,26237
0.2,20,20,29,26124
0.2,30,20,0,36109
0.2,30,20,1,36925
0.2,30,20,2,35689
0.2,30,20,3,36122
0.2,30,20,4,34477
0.2,30,20,5,36254
0.2,30,20,6,36697
0.2,30,20,7,33586
0.2,30,20,8,34620
0.2,30,20,9,35749
0.2,30,20,10,33576
0.2,30,20,11,35022
0.2,30,20,12,33406
0.2,30,20,13,34854
0.2,30,20,14,36082
0.2,30,20,15,37466
0.2,30,20,16,38220
0.2,30,20,17,35141
0.2,30,20,18,36733
0.2,30,20,19,37034
0.2,30,20,20,35793
0.2,30,20,21,34937
0.2,30,20,22,38641
0.2,30,20,23,35850
0.2,5,30,0,18488
0.2,5,30,1,21920
0.2,30,20,24,35919
0.2,30,20,25,36701
0.2,5,30,2,20553
0.2,5,30,3,20249
0.2,5,30,4,16320
0.2,5,30,5,24262
0.2,5,30,6,21417
0.2,5,30,7,20521
0.2,30,20,26,36001
0.2,30,20,27,36113
0.2,5,30,8,20244
0.2,5,30,9,20782
0.2,30,20,28,35915
0.2,30,20,29,35910
0.2,5,30,10,19865
0.2,5,30,11,21127
0.2,5,30,12,20262
0.2,5,30,13,19243
0.2,5,30,14,19297
0.2,5,30,15,20595
0.2,5,30,16,19868
0.2,5,30,17,19026
0.2,5,30,18,20836
0.2,5,30,19,20953
0.2,5,30,20,19434
0.2,5,30,21,19029
0.2,5,30,22,20212
0.2,5,30,23,20760
0.2,5,30,24,19442
0.2,5,30,25,17280
0.2,5,30,26,20715
0.2,5,30,27,18587
0.2,5,30,28,20755
0.2,5,30,29,18550
0.2,10,30,0,27853
0.2,10,30,1,28293
0.2,10,30,2,28142
0.2,10,30,3,29355
0.2,10,30,4,28290
0.2,10,30,5,29334
0.2,10,30,6,28748
0.2,10,30,7,31612
0.2,10,30,8,29057
0.2,10,30,9,29794
0.2,10,30,10,29325
0.2,10,30,11,31054
0.2,10,30,12,27300
0.2,10,30,13,28907
0.2,10,30,14,30660
0.2,10,30,15,29698
0.2,10,30,16,29502
0.2,10,30,17,30112
0.2,10,30,18,33032
0.2,10,30,19,28434
0.2,10,30,20,30122
0.2,10,30,21,27965
0.2,10,30,22,34973
0.2,10,30,23,27269
0.2,10,30,24,29650
0.2,10,30,25,30303
0.2,10,30,26,29224
0.2,10,30,27,30088
0.2,10,30,28,29032
0.2,10,30,29,27416
0.2,20,30,0,45355
0.2,20,30,1,45175
0.2,20,30,2,47567
0.2,20,30,3,45387
0.2,20,30,4,46615
0.2,20,30,5,47039
0.2,20,30,6,47983
0.2,20,30,7,46922
0.2,20,30,8,47394
0.2,20,30,9,45730
0.2,20,30,10,46883
0.2,20,30,11,47507
0.2,20,30,12,46378
0.2,20,30,13,48712
0.2,20,30,14,47569
0.2,20,30,15,49009
0.2,20,30,16,46043
0.2,20,30,17,49977
0.2,20,30,18,45975
0.2,20,30,19,44796
0.2,20,30,20,47506
0.2,20,30,21,46119
0.2,20,30,22,45571
0.2,20,30,23,48523
0.2,5,50,0,46259
0.2,5,50,1,44034
0.2,20,30,24,48042
0.2,20,30,25,48726
0.2,5,50,2,54529
0.2,5,50,3,45244
0.2,20,30,26,48110
0.2,20,30,27,44761
0.2,5,50,4,46014
0.2,5,50,5,44954
0.2,20,30,28,44887
0.2,20,30,29,46097
0.2,5,50,6,55265
0.2,5,50,7,54549
0.2,5,50,8,56052
0.2,5,50,9,50945
0.2,5,50,10,49026
0.2,5,50,11,47046
0.2,5,50,12,52640
0.2,5,50,13,47751
0.2,5,50,14,53462
0.2,5,50,15,54290
0.2,5,50,16,57153
0.2,5,50,17,49329
0.2,5,50,18,45836
0.2,5,50,19,49577
0.2,5,50,20,50701
0.2,5,50,21,49775
0.2,5,50,22,50137
0.3,5,5,0,1171
0.3,5,5,1,1058
0.3,5,5,2,1108
0.3,5,5,3,1218
0.3,5,5,4,917
0.3,5,5,5,1002
0.3,5,5,6,1060
0.3,5,5,7,1531
0.3,5,5,8,1138
0.3,5,5,9,1046
0.3,5,5,10,1092
0.3,5,5,11,805
0.3,5,5,12,1126
0.3,5,5,13,1066
0.3,5,5,14,909
0.3,5,5,15,987
0.3,5,5,16,1243
0.3,5,5,17,1187
0.3,5,5,18,1123
0.3,5,5,19,1342
0.3,5,5,20,1513
0.3,5,5,21,1124
0.3,5,5,22,1236
0.3,5,5,23,1572
0.3,5,5,24,1028
0.3,5,5,25,1372
0.3,5,5,26,1380
0.3,5,5,27,1169
0.3,5,5,28,1339
0.3,5,5,29,1003
0.3,10,5,0,1852
0.3,10,5,1,2148
0.3,10,5,2,1658
0.3,10,5,3,1882
0.3,10,5,4,2182
0.3,10,5,5,2330
0.3,10,5,6,2051
0.3,10,5,7,2151
0.3,10,5,8,2477
0.3,10,5,9,2409
0.3,10,5,10,2004
0.3,10,5,11,2244
0.3,10,5,12,2413
0.3,10,5,13,2092
0.3,10,5,14,2316
0.3,10,5,15,2166
0.3,10,5,16,1917
0.3,10,5,17,1848
0.3,10,5,18,2279
0.3,10,5,19,2073
0.3,10,5,20,1949
0.3,10,5,21,2232
0.3,10,5,22,2008
0.3,10,5,23,2124
0.3,10,5,24,2136
0.3,10,5,25,2029
0.3,10,5,26,2139
0.3,10,5,27,2436
0.3,10,5,28,2173
0.3,10,5,29,2480
0.3,20,5,0,4166
0.3,20,5,1,4477
0.3,20,5,2,3393
0.3,20,5,3,3959
0.3,20,5,4,4348
0.3,20,5,5,4557
0.3,20,5,6,3861
0.3,20,5,7,3459
0.3,20,5,8,3780
0.3,20,5,9,3731
0.3,20,5,10,4035
0.3,20,5,11,4001
0.3,20,5,12,4120
0.3,20,5,13,4277
0.3,20,5,14,4260
0.3,20,5,15,3405
0.3,20,5,16,4031
0.3,20,5,17,3631
0.3,20,5,18,4323
0.3,20,5,19,4213
0.3,20,5,20,4086
0.3,20,5,21,3825
0.3,20,5,22,4073
0.3,20,5,23,3616
0.3,20,5,24,3455
0.3,20,5,25,4067
0.3,20,5,26,3721
0.3,20,5,27,4684
0.3,20,5,28,3969
0.3,20,5,29,4024
0.3,30,5,0,5361
0.3,30,5,1,6154
0.3,30,5,2,6234
0.3,30,5,3,5429
0.3,30,5,4,5918
0.3,30,5,5,5685
0.3,30,5,6,5775
0.3,30,5,7,5787
0.3,30,5,8,6303
0.2,5,50,23,52103
0.3,30,5,10,5590
0.3,30,5,11,5571
0.3,30,5,12,5439
0.3,30,5,13,6363
0.3,30,5,14,6298
0.3,30,5,15,5573
0.3,30,5,16,6111
0.3,30,5,17,5389
0.3,30,5,9,5853
0.3,30,5,19,5933
0.3,30,5,20,5836
0.3,30,5,21,5683
0.3,30,5,22,5478
0.3,30,5,23,5041
0.3,30,5,24,5963
0.3,30,5,25,5761
0.3,30,5,26,5571
0.2,5,50,24,52113
0.3,30,5,27,6221
0.2,5,50,25,56310
0.3,30,5,29,5571
0.3,30,5,28,6425
0.3,30,5,18,5677
0.3,5,10,3,2840
0.3,5,10,2,2615
0.3,5,10,4,2499
0.3,5,10,5,3168
0.3,5,10,7,2439
0.3,5,10,0,3097
0.3,5,10,6,3236
0.3,5,10,9,3099
0.3,5,10,1,3206
0.3,5,10,8,3342
0.3,5,10,12,3522
0.3,5,10,13,2722
0.3,5,10,14,3129
0.3,5,10,11,3403
0.3,5,10,10,3106
0.3,5,10,16,2968
0.2,5,50,26,53299
0.3,5,10,20,2753
0.3,5,10,21,2725
0.3,5,10,19,3333
0.3,5,10,22,2759
0.3,5,10,17,3397
0.3,5,10,15,3276
0.3,5,10,24,2762
0.3,5,10,27,2514
0.2,5,50,27,48133
0.2,5,50,28,51677
0.3,5,10,25,3112
0.3,5,10,28,3511
0.3,5,10,29,3097
0.2,5,50,29,55428
0.3,5,10,23,3440
0.3,5,10,26,3052
0.3,5,10,18,3274
0.3,10,10,5,4449
0.3,10,10,4,4732
0.3,10,10,7,4763
0.3,10,10,8,4831
0.3,10,10,0,5002
0.3,10,10,1,4802
0.3,10,10,6,4640
0.3,10,10,2,4851
0.3,10,10,3,4547
0.3,10,10,9,4929
0.3,10,10,12,5299
0.3,10,10,10,5092
0.3,10,10,14,5470
0.3,10,10,11,5670
0.3,10,10,13,4966
0.3,10,10,15,4731
0.3,10,10,16,5027
0.3,10,10,17,4621
0.3,10,10,18,5050
0.3,10,10,19,4919
0.3,10,10,21,4944
0.3,10,10,20,5752
0.3,10,10,22,4814
0.3,10,10,23,5171
0.3,10,10,24,4988
0.3,10,10,25,5341
0.3,10,10,26,5443
0.3,10,10,27,5106
0.3,10,10,28,5357
0.3,10,10,29,4871
0.3,20,10,0,9190
0.3,20,10,1,9170
0.3,20,10,2,10534
0.3,20,10,3,9433
0.3,20,10,4,8788
0.3,20,10,5,8652
0.3,20,10,6,8472
0.3,20,10,7,8048
0.3,20,10,8,9104
0.3,20,10,9,8985
0.3,20,10,10,9197
0.3,20,10,11,9291
0.3,20,10,12,9588
0.3,20,10,13,8519
0.3,20,10,14,8430
0.3,20,10,15,9516
0.3,20,10,16,8823
0.3,20,10,17,9122
0.3,20,10,18,9596
0.3,20,10,19,9335
0.3,20,10,20,8516
0.3,20,10,21,9327
0.3,20,10,22,9802
0.3,20,10,23,9199
0.3,20,10,24,8459
0.3,20,10,25,8808
0.3,20,10,26,9548
0.3,20,10,27,8952
0.3,20,10,28,7585
0.3,20,10,29,8181
0.3,30,10,0,13060
0.3,30,10,1,13041
0.3,30,10,2,12359
0.3,30,10,3,13072
0.3,30,10,4,12207
0.3,30,10,5,12782
0.3,30,10,6,12968
0.3,30,10,7,12653
0.3,30,10,8,12976
0.3,30,10,9,12367
0.3,30,10,10,13202
0.3,30,10,11,13108
0.3,30,10,12,12410
0.3,30,10,13,13503
0.3,30,10,14,13492
0.3,30,10,15,12279
0.3,30,10,16,13124
0.3,30,10,17,12730
0.3,30,10,18,13328
0.3,30,10,19,13386
0.3,30,10,20,13045
0.3,30,10,21,13550
0.3,30,10,22,14147
0.3,30,10,23,12649
0.3,5,20,0,9447
0.3,5,20,1,9015
0.3,30,10,24,14263
0.3,30,10,25,14509
0.3,5,20,2,8685
0.3,5,20,3,8145
0.3,5,20,4,8440
0.3,5,20,5,9108
0.3,30,10,26,12482
0.3,30,10,27,13464
0.3,30,10,28,12816
0.3,30,10,29,13499
